City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,ar rutbah,33.0381,40.2848,79.29,23,2,9.22,IQ,1713546405
258,alaghsas,17.0187,8.0168,104.18,7,18,6.35,NE,1713546408
259,burang,30.25,81.1667,31.19,75,50,7.58,CN,1713546410
260,ammon,43.4696,-111.9666,47.98,37,0,13.8,US,1713546413
261,kudahuvadhoo,2.6708,72.8944,85.89,75,33,12.95,MV,1713546416
262,hami,42.8,93.45,64.56,24,16,4.7,CN,1713546418
263,kingston,17.997,-76.7936,87.17,66,20,8.05,JM,1713546330
264,mongomo,1.6274,11.3135,75.94,79,100,4.34,GQ,1713546424
265,polyarnyy,69.1989,33.4478,12.45,84,6,8.52,RU,1713546427
266,cape town,-33.9258,18.4232,63.12,79,0,4.61,ZA,1713546339
267,ocher,57.8904,54.7202,60.12,65,99,9.01,RU,1713546432
268,queenstown,-31.8976,26.8753,67.1,47,9,4.5,ZA,1713546434
269,petropavlovsk-kamchatsky,53.0452,158.6483,34.77,95,75,4.47,RU,1713546139
270,gaoping,30.7758,106.1029,69.08,78,95,1.43,CN,1713546440
271,otawara,36.8667,140.0333,52.18,62,43,5.84,JP,1713546443
272,tarfaya,27.9358,-12.9218,67.46,79,100,13.0,MA,1713546445
273,isla vista,34.4133,-119.861,55.76,88,100,4.61,US,1713546448
274,kapa'a,22.0752,-159.319,71.92,83,100,18.41,US,1713546451
275,port saint john's,-31.6229,29.5448,71.31,90,78,5.3,ZA,1713546453
276,carutapera,-1.195,-46.02,75.43,98,100,2.35,BR,1713546459
277,ust'-kut,56.7938,105.7672,26.44,52,48,5.01,RU,1713546462
278,darende,38.5458,37.5058,66.6,46,4,8.16,TR,1713546467
279,punta cardon,11.6581,-70.215,84.49,71,100,16.08,VE,1713546469
280,najaf,31.9985,44.3398,93.13,13,9,6.53,IQ,1713546472
281,bikenibeu village,1.3673,173.1241,82.36,78,75,9.22,KI,1713546475
282,embi,48.8264,58.1442,69.76,42,56,7.92,KZ,1713546374
283,krasnyy chikoy,50.3643,108.7512,31.86,86,22,1.5,RU,1713546480
284,howrah,22.5892,88.3103,89.6,70,20,13.8,IN,1713546483
285,wailua homesteads,22.0669,-159.378,70.59,83,100,18.41,US,1713546485
286,tabou,4.423,-7.3528,86.22,73,33,8.97,CI,1713546488
287,plastun,44.7561,136.2939,37.33,95,97,2.19,RU,1713546491
288,chadron,42.8294,-102.9999,42.48,34,100,13.8,US,1713546493
289,corcova,44.7,23.05,49.73,58,51,6.24,RO,1713546496
290,tegina,10.0706,6.1906,103.41,21,84,6.11,NG,1713546499
291,borovichi,58.3878,33.9155,34.02,98,100,13.0,RU,1713546394
292,tvoroyri,61.5556,-6.8111,39.43,52,81,5.99,FO,1713546504
293,inari,68.906,27.0288,28.96,83,99,6.96,FI,1713546507
294,thurso,58.5927,-3.5259,43.05,63,98,19.93,GB,1713546509
295,arar,30.9753,41.0381,86.02,14,0,4.61,SA,1713546512
296,ciudad constitucion,25.0369,-111.6644,77.5,31,88,9.01,MX,1713546515
297,longyearbyen,78.2186,15.6401,28.24,64,75,20.71,SJ,1713546518
298,taltal,-25.4,-70.4833,67.28,74,18,3.96,CL,1713546520
299,college,64.8569,-147.8028,40.06,58,0,0.0,US,1713546523
300,alpena,45.0617,-83.4327,50.32,49,75,13.8,US,1713546519
301,uaua,-9.8414,-39.4817,92.26,37,58,12.35,BR,1713546446
302,kentville,45.0835,-64.4988,52.97,44,100,2.51,CA,1713546531
303,gisborne,-38.6533,178.0042,60.01,72,100,3.29,NZ,1713546533
304,kurumkan,54.3,110.3,35.13,46,10,4.0,RU,1713546536
305,happy valley-goose bay,53.3168,-60.3315,48.45,32,83,1.66,CA,1713546539
306,palmer,42.1584,-72.3287,60.84,40,70,3.0,US,1713546541
307,rabo de peixe,37.8,-25.5833,63.99,99,20,16.11,PT,1713546544
308,san jose del guaviare,2.5729,-72.6459,80.19,78,100,3.4,CO,1713546547
309,carnarvon,-24.8667,113.6333,76.55,45,27,12.86,AU,1713546549
310,lovington,32.944,-103.3485,54.45,62,100,1.99,US,1713546553
311,varna,43.2167,27.9167,51.94,76,20,11.5,BG,1713546442
312,saint-pierre,-21.3393,55.4781,76.68,78,20,13.8,RE,1713546558
313,likasi,-10.9814,26.7333,65.37,91,100,2.37,CD,1713546561
314,ketchikan,55.3422,-131.6461,52.27,50,0,0.0,US,1713546564
315,karratha,-20.7377,116.8463,80.94,26,99,10.54,AU,1713546566
316,contai,21.7786,87.7536,83.03,85,0,18.9,IN,1713546569
317,zvornik,44.3869,19.1014,54.25,57,49,2.55,BA,1713546572
318,vanimo,-2.6741,141.3028,79.74,90,99,2.86,PG,1713546576
319,sodra sandby,56.5667,16.6167,37.89,82,91,14.2,SE,1713546578
320,kuqa,41.7278,82.9364,65.1,34,5,3.49,CN,1713546581
321,coquimbo,-29.9533,-71.3436,63.63,76,38,7.14,CL,1713546466
322,benguela,-12.5763,13.4055,83.64,79,98,5.7,AO,1713546587
323,nizhneudinsk,54.9076,99.0276,41.56,82,87,8.7,RU,1713546589
324,beloyarskiy,63.7119,66.6722,18.0,89,96,5.01,RU,1713546592
325,ballymena,54.8636,-6.2763,54.01,71,17,12.17,GB,1713546594
326,mutuali,-14.8706,37.0044,70.23,94,86,3.71,MZ,1713546597
327,kodiak,57.79,-152.4072,40.51,93,100,20.71,US,1713546599
328,rio grande,-32.035,-52.0986,82.51,61,44,4.54,BR,1713546605
329,grand falls-windsor,48.9332,-55.6649,38.5,76,69,8.01,CA,1713546608
330,el tigre,8.8875,-64.2454,86.94,56,100,8.1,VE,1713546610
331,berdigestyakh,62.0989,126.6992,28.36,95,100,5.61,RU,1713546613
332,kalispell,48.1958,-114.3129,41.18,35,0,10.36,US,1713546616
333,raja,8.4596,25.678,93.79,23,85,5.59,SS,1713546618
334,prado,-17.3411,-39.2208,75.45,91,100,11.05,BR,1713546400
